"5.";"-";"-";"ivb.container.xfall.implementation.gewerbe";"Anliegen";;;"H"
"5.1.";"ivb.container.xfall. implementation.gewerbe";"Nachricht";"Nachricht";"Nachricht";;"Anliegen.Nachrichten";"H"
"5.1.1.";"Nachricht";"IVB-Nachrichtenszenarium";"VPlan-Anwendung";"VPlanAnwendung";;"Anliegen.Nachrichten.IVB-Nachrichtensszenarium";"H"
"5.1.1.1.";"VPlan-Anwendung";"VPlan-ID";;"VPlanAnwendung";"VPlan-ID";"Anliegen.Nachrichten.IVB-Nachrichtenszenarium";"M"
"5.1.2.";"Nachricht";"sendender Softwaretyp";"VPlan-Softwarekomponententyp";"VPlan-Softwarekomponententyp";;"Anliegen.Nachrichten.sendender Softwaretyp";"H"
"5.1.2.1.";"VPlan-Softwarekomponententyp";"VPlan-ID";;"VPlan-Softwarekomponententyp";"VPlan-ID";"Anliegen.Nachrichten.sendender Softwaretyp";"M"
"5.1.3.";"Nachricht";"gesendeter Nachrichtentyp";"VPlan-Nachricht";"VPlan-Nachricht";;"Anliegen.Nachrichten.gesendeter Nachrichtentyp";"H"
"5.1.3.1.";"VPlan-Nachricht";"VPlan-ID";;"VPlan-Nachricht";"VPlan-ID";"Anliegen.Nachrichten.gesendeter Nachrichtentyp";"M"
"5.1.3.2.";"VPlan-Nachricht";"Unternachrichten";"VPlan-Nachricht";"VPlan-Nachricht";;"Anliegen.Nachrichten.gesendeter Nachrichtentyp.Unternachrichten";"H"
"5.1.3.2.1.";"VPlan-Nachricht";"VPlan-ID";"VPlan-Nachricht";"VPlan-Nachricht";"VPlan-ID";"Anliegen.Nachrichten.gesendeter Nachrichtentyp.Unternachrichten";"M"
"5.1.3.2.2.";"VPlan-Nachricht";"Containerpfad";;"VPlan-Nachricht";"Containerpfad";"Anliegen.Nachrichten.gesendeter Nachrichtentyp.Unternachrichten";"M"
"5.1.3.2.3.";"VPlan-Nachricht";"Containerpfad Index";;"VPlan-Nachricht";"Containerpfad Index";"Anliegen.Nachrichten.gesendeter Nachrichtentyp.Unternachrichten";"M"
"5.1.4.";"Nachricht";"sendende Software";"Softwareinstallation";"Softwareinstallation";;"Anliegen.Nachrichten.sendende Software";"H"
"5.1.4.1.";"Softwareinstallation";"IVB-ID";;"Softwareinstallation";"IVB-ID";"Anliegen.Nachrichten.sendende Software";"M"
"5.1.5.";"Nachricht";"integrierende Organisation";"Organisation";"Organisation";;"Anliegen.Nachrichten.integrierende Organisation";"H"
"5.1.5.1.";"Organisation";"Beteiligte";"Beteiligter";"Beteiligter";;"Anliegen.Nachrichten.integrierende Organisation.Beteiligte";"H"
"5.1.5.1.1.";"Beteiligter";"IVB-ID";;"Beteiligter";"IVB-ID";"Anliegen.Nachrichten.integrierende Organisation.Beteiligte";"M"
"5.2.";"ivb.container.xfall. implementation.gewerbe";"Antrag";"Antrag";"Vorgang";;"Anliegen.Vorgänge";"H"
"5.2.1.";"antrag";"partialApplicationCaseID";;;;;"N"
"5.2.2.";"Antrag";"Gewerbebetrieb";"Gewerbebetrieb";"Gewerbebetrieb";;"Anliegen.Vorgänge. MPlan. meldender Gewerbebetrieb";"H"
"5.2.2.1.";"Gewerbebetrieb";"sonstigeBetriebsart";;"Gewerbebetrieb";"sonstige Betriebsart";"Anliegen.Vorgänge. MPlan. meldender Gewerbebetrieb";"M F"
"5.2.2.2.";"Gewerbebetrieb";"besondereGewerbeform";"besondereGewerbeform";"Gewerbebetrieb";;"Anliegen.Vorgänge.MPlan. meldender Gewerbebetrieb";"H"
"5.2.2.2.1.";"besondereGewerbeform";"automatenaufstellungsgewerbe";;"Gewerbebetrieb";"Ist Automatenaufstellungsgewerbe";"Anliegen.Vorgänge.MPlan. meldender Gewerbebetrieb";"M"
"5.2.2.2.2.";"besondereGewerbeform";"reisegewerbe";;"Gewerbebetrieb";"Ist Reisegewerbe";"Anliegen.Vorgänge.MPlan. meldender Gewerbebetrieb";"M"
"5.2.3.";"Antrag";"Antragsteller";"Antragsteller";"Person";;"Anliegen.Vorgänge.MPlan. Antragstellende Person";"H"
"5.2.3.1.";"Antragsteller";"webseite";;"Kontakt";"Webseiten";"Anliegen.Vorgänge.MPlan. Antragstellende Person. Kontakte";"M"
"5.2.3.2.";"Antragsteller";"telefon";"telefon";"Kontakt";;"Anliegen.Vorgänge.MPlan. Antragstellende Person. Kontakte";"H"
"5.2.3.2.1.";"telefon";"vorwahl";;"Kontakt";"Telefonnummer Vorwahl";"Anliegen.Vorgänge.MPlan. Antragstellende Person. Kontakte";"M"
"5.2.3.3.";"Antragsteller";"fax";"fax";"Kontakt";;"Anliegen.Vorgänge.MPlan. Antragstellende Person. Kontakte";"H"
"5.2.3.3.1.";"fax";"vorwahl";;"Kontakt";"Telefaxnummer Vorwahl";"Anliegen.Vorgänge.MPlan. Antragstellende Person. Kontakte";"M"
"5.2.4.";"Antrag";"Betriebsstaette";"Betriebsstaette";"Betriebsstätte";;"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte";"H"
"5.2.4.1.";"Betriebsstaette";"webseite";;"Kontakt";"Webseiten";"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte.Kontakte";"M"
"5.2.4.2.";"Betriebsstaette";"telefon";"telefon";"Kontakt";;"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte.Kontakte";"H"
"5.2.4.2.1.";"telefon";"vorwahl";;"Kontakt";"Telefonnummern Vorwahl";"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte.Kontakte";"M"
"5.2.4.3.";"Betriebsstaette";"fax";"fax";"Kontakt";;"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte.Kontakte";"H"
"5.2.4.3.1.";"fax";"vorwahl";;"Kontakt";"Faxnummern Vorwahl";"Anliegen. Vorgänge. MPlan. meldende Betriebsstätte.Kontakte";"M"
"5.2.5.";"Antrag";"FruehereBetriebsstaette";"FruehereBetriebsstaette";"Betriebsstätte";;"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte";"H"
"5.2.5.1.";"FruehereBetriebsstaette";"webseite";;"Kontakt";"Webseiten";"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte.Kontakte";"M"
"5.2.5.2.";"FruehereBetriebsstaette";"telefon";"telefon";"Kontakt";;"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte.Kontakte";"H"
"5.2.5.2.1.";"telefon";"vorwahl";;"Kontakt";"Telefonnummern Vorwahl";"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte.Kontakte";"M"
"5.2.5.3.";"FruehereBetriebsstaette";"fax";"fax";"Kontakt";;"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte.Kontakte";"H"
"5.2.5.3.1.";"fax";"vorwahl";;"Kontakt";"Faxnummern Vorwahl";"Anliegen.Vorgänge.MPlan. frühere Betriebsstätte.Kontakte";"M"
"5.2.6.";"Antrag";"Hauptniederlassung";"Hauptniederlassung";"Betriebsstätte";;"Anliegen.Vorgänge.MPlan. Hauptniederlassung";"H"
"5.2.6.1.";"Hauptniederlassung";"webseite";;"Kontakt";"Webseiten";"Anliegen.Vorgänge.MPlan. Hauptniederlassung.Kontakte";"M"
"5.2.6.2.";"Hauptniederlassung";"telefon";"telefon";"Kontakt";;"Anliegen.Vorgänge.MPlan. Hauptniederlassung.Kontakte";"H"
"5.2.6.2.1.";"telefon";"vorwahl";;"Kontakt";"Telefonnummern Vorwahl";"Anliegen.Vorgänge.MPlan. Hauptniederlassung.Kontakte";"M"
"5.2.6.3.";"Hauptniederlassung";"fax";"fax";"Kontakt";;"Anliegen.Vorgänge.MPlan. Hauptniederlassung.Kontakte";"H"
"5.2.6.3.1.";"fax";"vorwahl";;"Kontakt";"Faxnummern Vorwahl";"Anliegen.Vorgänge.MPlan. Hauptniederlassung.Kontakte";"M"
"5.2.7.";"Antrag";"Personen";"Personen";;;;
"5.2.7.1.";"Personen";"Person";"Person";"Kontakt";;"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"H"
"5.2.7.1.0.";"Person";"id?";;;;;"N"
"5.2.7.1.1.";"Person";"webseite";;"Kontakt";"Webseiten";"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"M F"
"5.2.7.1.2.";"Person";"telefon";"telefon";"Kontakt";;"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"H"
"5.2.7.1.2.1.";"telefon";"vorwahl";;"Kontakt";"Telefonnummern Vorwahl";"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"M F"
"5.2.7.1.3.";"Person";"fax";"fax";"Kontakt";;"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"H"
"5.2.7.1.3.1.";"fax";"vorwahl";;"Kontakt";"Faxnummern Vorwahl";"Anliegen.Vorgänge.MPlan. gesetzliche Vertreter. Kontakte";"M F"
