"2.";"-";"-";"application.update.0300002 (Transport einer Antragsänderung zwischen den Partnern.)application.update.0300002 (Transport einer Antragsänderung zwischen den Partnern.)application.update.0300002 (Transport einer Antragsänderung zwischen den Partnern.)";"Anliegen";;;"H "
"2.1.";"application.update.0300002 ";"Header";"header";"Nachricht";;"Anliegen.Nachrichten";"H"
"2.1.1.";"header";"messageID";;"Nachricht";"IVB-ID";"Anliegen.Nachrichten";"M F"
"2.1.1.a.";;;;"Nachricht";"Nachrichtentext";"Anliegen. Nachrichten";"M F"
"2.1.1.b.";;;;"Datei";"Datei Inhalt";"Anliegen. Nachrichten. Nachrichtentext Datei";"M F"
"2.1.1.c.";;;;"Datei";"Datei Typ";"Anliegen. Nachrichten. Nachrichtentext Datei";"M F"
"2.1.1.d.";;;;"Datei";"Datei Encoding";"Anliegen. Nachrichten. Nachrichtentext Datei";"M F"
"2.2.";"application.update.0300002 ";"Partner";"Partner";;;;"N"
"2.3.";"application.update.0300002 ";"Document";"Document";"Dokument";;"Anliegen. Vorgänge. Dokumente";"H"
"2.3.1.";"Document";"documentID";;"Dokument";"IVB-ID";"Anliegen. Vorgänge. Dokumente";"M F"
"2.3.2.";"Document";"name";;"Dokument";"Bezeichnung";"Anliegen. Vorgänge. Dokumente ";"M"
"2.3.3.";;;;"VPlan-Dokumententyp";"VPlan-ID";"Anliegen. Vorgänge. Dokumente. VPlan-Dokumententypen";"M F"
"2.3.5.";"Document";"documentRepresentation";"DocumentRepresentation";"Datei";;"Anliegen. Vorgänge. Dokumente. Dateien";"H"
"2.3.5.1.";"DocumentRepresentation";"documentRepresentationID";;"Datei";"IVB-ID";"Anliegen. Vorgänge. Dokumente. Dateien";"MF"
"2.3.5.1.a.";;;;"Datei";"Dokument Index";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"2.3.5.3.";"DocumentRepresentation";"mimeType";;"Datei";"Typ ";"Anliegen. Vorgänge. Dokumente. Dateien";"M"
"2.3.5.4.";"DocumentRepresentation";"content";;"Datei";"Inhalt";"Anliegen. Vorgänge. Dokumente. Dateien";"M"
"2.3.5.7.";"DocumentRepresentation";"filename";;"Datei";"Quelle Dateiname";"Anliegen. Vorgänge. Dokumente. Dateien";"M"
"2.3.5.8.";"DocumentRepresentation";"contentType ";;"Datei";"Typ Spezifikation";"Anliegen. Vorgänge. Dokumente. Dateien";"M"
"2.4.";"application.update.0300002 ";"deadline";"deadline";"Termin";;"Anliegen. Vorgänge. Termine";"H"
"2.4.2.";"Deadline";"beginDate";;"Termin";"Fristbeginn ";"Anliegen. Vorgänge. Termine";"M"
"2.4.3.";"Deadline";"endDate";;"Termin";"Fristende ";"Anliegen. Vorgänge. Termine";"M"
"2.5.";"application.update.0300002 ";"Status";"Status";"Vorgang";;"Anliegen. Vorgänge";"H"
"2.5.1.";"Status";"partialApplicationID";;"Vorgang";"IVB-ID";"Anliegen.Vorgänge";"M F"
"2.5.2.";"Status";"currentStatus ";;"Vorgang";"Bearbeitungsstatus ";"Anliegen.Vorgänge";"M F"
"2.5.2.a";;;;"Vorgang";"Ergebnisstatus";"Anliegen.Vorgänge";"M F"
"2.5.3.";"Status";"reason";;"Vorgang";"Grund für Status";"Anliegen. Vorgänge";"M"
